Table Name
orderstatushistory
orderstatuses
users
deliveryaddresses
orders
orderitems
carts
cartitems
restaurantmenu
menu
usersanddeliveryaddresses
restaurantsandmenu
ordersandstatuses
cartsanditems
restaurants
orderitemswithproperties
